artist_id,artist_name,user_id,artist_popularity,followers
1,Otis Rush,1001,41,139523
2,Clarence Gatemouth Brown,1002,33,72965
3,Junior Wells,1003,41,139524
4,Sonny Boy Williamson II,1004,46,196819
5,Jimmy Reed,1005,42,149969
6,Elmore James,1006,44,172310
7,Magic Sam,1007,38,111219
8,Robert Lockwood Jr.,1008,27,40119
9,Lightnin Hopkins,1009,44,172310
10,Willie Dixon,1010,42,149952
11,TBone Walker,1011,44,172319
12,Slim Harpo,1012,45,184280
13,Jimmy Rogers,1013,40,129636
14,Koko Taylor,1014,43,160884
15,Otis Spann,1015,33,72978
16,Little Walter,1016,46,196800
17,J.B. Lenoir,1017,36,94608
18,Muddy Waters,1018,55,335788
19,Memphis Slim,1019,30,54917
20,Hound Dog Taylor,1020,37,102707
21,John Lee Hooker,1021,57,373651
22,Son House,1022,35,86988
23,John Hammond,1023,38,111225
24,Big Mama Thornton,1024,44,172337
25,Big Bill Broonzy,1025,32,66587
26,Howlin Wolf,1026,52,283960
27,Earl Hooker,1027,38,111189
28,Lowell Fulson,1028,37,102707
29,Freddie King,1029,51,267949
30,James Cotton,1030,33,72973
31,Champion Jack Dupree,1031,38,111188
32,Lazy Lester,1032,29,49623
33,Albert King,1033,49,237742
34,The Paul Butterfield Blues Band,1034,39,120169
35,Billy Boy Arnold,1035,28,44706
36,Homesick James,1036,28,44690
37,Big Walter Horton,1037,28,44713
38,Snooks Eaglin,1038,35,86994
39,Mississippi John Hurt,1039,41,139557
40,J. B. Hutto,1040,28,44691
41,Bukka White,1041,27,40104
42,Luther Allison,1042,41,139528
43,Johnny Shines,1043,28,44706
44,Fenton Robinson,1044,37,102688
45,Blind Boy Fuller,1045,28,44698
46,Eddie Boyd,1046,27,40104
47,Sunnyland Slim,1047,30,54911
48,Snooky Pryor,1048,27,40117
49,Robert Johnson,1049,44,172326
50,Big Joe Williams,1050,29,49636
51,Mississippi Fred McDowell,1051,34,79784
52,Skip James,1052,33,72996
53,Buddy Guy,1053,53,300598
54,Lightnin Slim,1054,28,44705
55,Charlie Musselwhite,1055,41,139561
56,Arthur Big Boy Crudup,1056,32,66564
57,Hubert Sumlin,1057,38,111215
58,Jimmy Johnson,1058,32,66568
59,Junior Wells Chicago Blues Band,1059,29,49629
60,Tampa Red,1060,27,40097
61,Louisiana Red,1061,29,49645
62,Albert Collins,1062,45,184290
63,Charley Patton,1063,27,40099
64,Blind Willie McTell,1064,31,60552
65,Memphis Minnie,1065,28,44703
